Name,Decade
Harmonia.axyridis,2010
Harmonia.axyridis,2000
Harmonia.axyridis,2010
Harmonia.axyridis,2000
Harmonia.axyridis,2010
Harmonia.axyridis,2010
Harmonia.axyridis,2010
Harmonia.axyridis,2010
Harmonia.axyridis,2010
Harmonia.axyridis,2010
Harmonia.axyridis,2010
Harmonia.axyridis,2010
Harmonia.axyridis,2000
Harmonia.axyridis,2000
Harmonia.axyridis,2010
Harmonia.axyridis,2000
Harmonia.axyridis,2000
Harmonia.axyridis,2000
Harmonia.axyridis,2000
Harmonia.axyridis,2010
Harmonia.axyridis,2010
Harmonia.axyridis,2010
Harmonia.axyridis,2010
Harmonia.axyridis,2010
Harmonia.axyridis,2010
Harmonia.axyridis,2010
Harmonia.axyridis,2010
Harmonia.axyridis,2010
Harmonia.axyridis,2010
Harmonia.axyridis,2010
Harmonia.axyridis,2000
Harmonia.axyridis,1990
Harmonia.axyridis,2000
Harmonia.axyridis,2000
Harmonia.axyridis,2000
Harmonia.axyridis,2000
Harmonia.axyridis,2000
Harmonia.axyridis,2000
Harmonia.axyridis,2000
Harmonia.axyridis,2000
Harmonia.axyridis,2010
Harmonia.axyridis,2010
Harmonia.axyridis,2010
Harmonia.axyridis,2010
Harmonia.axyridis,2010
Harmonia.axyridis,2010
Harmonia.axyridis,2010
Harmonia.axyridis,2010
Harmonia.axyridis,2010
Harmonia.axyridis,2010
Harmonia.axyridis,2010
Harmonia.axyridis,2010
Harmonia.axyridis,2010
Harmonia.axyridis,2010
Harmonia.axyridis,2010
Harmonia.axyridis,2010
Harmonia.axyridis,2010
Harmonia.axyridis,2010
Harmonia.axyridis,2010
Harmonia.axyridis,2010
Harmonia.axyridis,2010
Harmonia.axyridis,2010
Harmonia.axyridis,2010
Harmonia.axyridis,2010
Harmonia.axyridis,2010
Harmonia.axyridis,2010
Harmonia.axyridis,2010
Harmonia.axyridis,2010
Harmonia.axyridis,2010
Harmonia.axyridis,2010
Harmonia.axyridis,2010
Harmonia.axyridis,2010
Harmonia.axyridis,2010
Harmonia.axyridis,2010
Harmonia.axyridis,2010
Harmonia.axyridis,2010
Harmonia.axyridis,2010
Harmonia.axyridis,2010
Harmonia.axyridis,2010
Harmonia.axyridis,2010
Harmonia.axyridis,2010
Harmonia.axyridis,2010
Harmonia.axyridis,2010
Harmonia.axyridis,2010
Harmonia.axyridis,2010
Harmonia.axyridis,2010
Harmonia.axyridis,2010
Harmonia.axyridis,2010
Harmonia.axyridis,2000
Harmonia.axyridis,2010
Harmonia.axyridis,2010
Harmonia.axyridis,2010
Harmonia.axyridis,2000
Harmonia.axyridis,2010
Harmonia.axyridis,2010
Harmonia.axyridis,2000
Harmonia.axyridis,2010
Harmonia.axyridis,2010
Harmonia.axyridis,2010
Harmonia.axyridis,2010
Harmonia.axyridis,2010
Harmonia.axyridis,2010
Harmonia.axyridis,1990
Harmonia.axyridis,2010
Harmonia.axyridis,2000
Harmonia.axyridis,2010
Harmonia.axyridis,2010
Harmonia.axyridis,2010
Harmonia.axyridis,2000
Harmonia.axyridis,2010
Harmonia.axyridis,2010
Harmonia.axyridis,2010
Harmonia.axyridis,2010
Harmonia.axyridis,2010
Harmonia.axyridis,2010
Harmonia.axyridis,2000
Harmonia.axyridis,2010
Harmonia.axyridis,2000
Harmonia.axyridis,2010
Harmonia.axyridis,2010
Harmonia.axyridis,2000
Harmonia.axyridis,2000
Harmonia.axyridis,2000
Harmonia.axyridis,2010
Harmonia.axyridis,2010
Harmonia.axyridis,2010
Psyllobora.vigintimaculata,1920
Psyllobora.vigintimaculata,1920
Psyllobora.vigintimaculata,1930
Psyllobora.vigintimaculata,1930
Psyllobora.vigintimaculata,2000
Psyllobora.vigintimaculata,2000
Psyllobora.vigintimaculata,2000
Psyllobora.vigintimaculata,2000
Psyllobora.vigintimaculata,2000
Psyllobora.vigintimaculata,2000
Psyllobora.vigintimaculata,1980
Psyllobora.vigintimaculata,1950
Psyllobora.vigintimaculata,1950
Psyllobora.vigintimaculata,2000
Psyllobora.vigintimaculata,2010
Psyllobora.vigintimaculata,2000
Psyllobora.vigintimaculata,1950
Psyllobora.vigintimaculata,1930
Psyllobora.vigintimaculata,1920
Psyllobora.vigintimaculata,1930
Psyllobora.vigintimaculata,1930
Psyllobora.vigintimaculata,1920
Psyllobora.vigintimaculata,1930
Psyllobora.vigintimaculata,1920
Propylea.quatuordecimpunctata,2010
Propylea.quatuordecimpunctata,2010
Propylea.quatuordecimpunctata,2010
Propylea.quatuordecimpunctata,2000
Propylea.quatuordecimpunctata,2000
Propylea.quatuordecimpunctata,2000
Propylea.quatuordecimpunctata,2000
Cycloneda.munda,1920
Cycloneda.munda,2000
Cycloneda.munda,2000
Cycloneda.munda,2000
Cycloneda.munda,2010
Cycloneda.munda,2010
Cycloneda.munda,2010
Cycloneda.munda,1970
Cycloneda.munda,1970
Cycloneda.munda,1970
Cycloneda.munda,2000
Cycloneda.munda,2010
Cycloneda.munda,1930
Cycloneda.munda,1950
Cycloneda.munda,1920
